Date;Avg coefficient
1960-07-01;0.5
1863-07-01;0.0
1804-07-01;0.0
1986-01-01;0.1875
1911-01-01;0.0
2012-01-01;0.10588597421252437
1916-07-01;0.0
1857-01-01;0.0
1823-07-01;0.0
1988-07-01;0.1875
1910-07-01;0.0
1946-01-01;0.0
2014-07-01;0.10088170172386525
1807-01-01;0.0
1940-01-01;0.0
1844-07-01;0.0
1817-01-01;0.0
2007-07-01;0.10914781906300484
1948-07-01;0.5
1806-07-01;0.0
1942-07-01;0.0
1865-01-01;0.0
1991-01-01;0.1
1996-07-01;0.04772727272727273
2001-01-01;0.041740674955595025
1910-01-01;0.0
1856-01-01;0.0
1966-07-01;0.5
1951-01-01;0.5
1924-07-01;0.0
1806-01-01;0.0
1959-07-01;0.5
1816-01-01;0.0
2009-01-01;0.10441622167700967
1953-01-01;0.5
1990-01-01;0.1
2000-01-01;0.04296875
2003-07-01;0.05993520518358531
1937-01-01;0.0
1950-01-01;0.5
1894-01-01;0.0
1904-01-01;0.0
1961-01-01;0.5
1952-01-01;0.5
1955-07-01;0.5
1854-01-01;0.0
1889-07-01;0.0
1904-07-01;0.0
1915-01-01;0.0
1866-07-01;0.0
1849-07-01;0.0
1843-01-01;0.0
1912-07-01;0.0
1877-07-01;0.0
1891-01-01;0.0
1984-07-01;0.1875
1906-07-01;0.0
1917-01-01;0.0
1995-01-01;0.0377906976744186
2010-07-01;0.10994186046511628
1914-01-01;0.0
1840-07-01;0.0
1901-07-01;0.0
1908-01-01;0.0
1851-01-01;0.0
1944-07-01;0.0
1802-07-01;0.0
1845-01-01;0.0
1923-01-01;0.0
1938-07-01;0.0
1842-01-01;0.0
1992-07-01;0.06666666666666667
1829-07-01;0.0
1804-01-01;0.0
1986-07-01;0.1875
1997-01-01;0.042682926829268296
1962-07-01;0.5
1994-01-01;0.08620689655172414
1920-07-01;0.0
1988-01-01;0.1875
1892-07-01;0.0
1931-01-01;0.0
1925-01-01;0.0
1918-07-01;0.0
1922-01-01;0.0
1990-07-01;0.1
1973-07-01;0.25
1948-01-01;0.5
1852-07-01;0.0
1846-07-01;0.0
1950-07-01;0.5
1884-07-01;0.0
1998-07-01;0.047109207708779445
1801-01-01;0.0
1932-07-01;0.0
1967-07-01;0.5
1812-07-01;0.0
1926-07-01;0.0
1985-01-01;0.1875
1887-01-01;0.0
