1801-01-01;deklaracija o zastiti cirilice: 0.847816;odluka o obrazovanju radne grupe za koordinaciju aktivnosti na uredjenju odnosa izmedju preduzeca za telekomunikacije telekom srbija akcionarsko drustvo beograd i javnog preduzeca posta srbije po pitanju zakupa nekretnina: 0.207575;odluka o promeni granice katastarskih opstina brezovica i zavlaka: -0.236102;zakon o opstem upravnom postupku: -0.258872;odluka o izradi prostornog plana podrucja posebne namene sistema produktovoda kroz republiku srbiju (sombor - novi sad- pancevo  beograd - smederevo  jagodina  nis): -0.339649
1801-07-01;odluka o izradi prostornog plana podrucja posebne namene sistema produktovoda kroz republiku srbiju (sombor - novi sad- pancevo  beograd - smederevo  jagodina  nis): 0.742355;zakon o opstem upravnom postupku: 0.422083;odluka o promeni granice katastarskih opstina brezovica i zavlaka: 0.350258;odluka o obrazovanju radne grupe za koordinaciju aktivnosti na uredjenju odnosa izmedju preduzeca za telekomunikacije telekom srbija akcionarsko drustvo beograd i javnog preduzeca posta srbije po pitanju zakupa nekretnina: -0.034685;deklaracija o zastiti cirilice: -0.383239
1802-01-01;odluka o izradi prostornog plana podrucja posebne namene sistema produktovoda kroz republiku srbiju (sombor - novi sad- pancevo  beograd - smederevo  jagodina  nis): 0.515800;odluka o promeni granice katastarskih opstina brezovica i zavlaka: 0.396576;odluka o obrazovanju radne grupe za koordinaciju aktivnosti na uredjenju odnosa izmedju preduzeca za telekomunikacije telekom srbija akcionarsko drustvo beograd i javnog preduzeca posta srbije po pitanju zakupa nekretnina: 0.337081;zakon o opstem upravnom postupku: -0.086516;deklaracija o zastiti cirilice: -0.674958
1802-07-01;zakon o opstem upravnom postupku: 0.664167;odluka o obrazovanju radne grupe za koordinaciju aktivnosti na uredjenju odnosa izmedju preduzeca za telekomunikacije telekom srbija akcionarsko drustvo beograd i javnog preduzeca posta srbije po pitanju zakupa nekretnina: 0.484528;odluka o promeni granice katastarskih opstina brezovica i zavlaka: 0.373198;odluka o izradi prostornog plana podrucja posebne namene sistema produktovoda kroz republiku srbiju (sombor - novi sad- pancevo  beograd - smederevo  jagodina  nis): -0.164429;deklaracija o zastiti cirilice: -0.397243
1803-01-01;deklaracija o zastiti cirilice: 0.634048;odluka o obrazovanju radne grupe za koordinaciju aktivnosti na uredjenju odnosa izmedju preduzeca za telekomunikacije telekom srbija akcionarsko drustvo beograd i javnog preduzeca posta srbije po pitanju zakupa nekretnina: 0.595737;odluka o izradi prostornog plana podrucja posebne namene sistema produktovoda kroz republiku srbiju (sombor - novi sad- pancevo  beograd - smederevo  jagodina  nis): 0.334375;zakon o opstem upravnom postupku: -0.104658;odluka o promeni granice katastarskih opstina brezovica i zavlaka: -0.346871
1803-07-01;odluka o izradi prostornog plana podrucja posebne namene sistema produktovoda kroz republiku srbiju (sombor - novi sad- pancevo  beograd - smederevo  jagodina  nis): 0.661804;zakon o opstem upravnom postupku: 0.597447;deklaracija o zastiti cirilice: 0.452296;odluka o obrazovanju radne grupe za koordinaciju aktivnosti na uredjenju odnosa izmedju preduzeca za telekomunikacije telekom srbija akcionarsko drustvo beograd i javnog preduzeca posta srbije po pitanju zakupa nekretnina: 0.006829;odluka o promeni granice katastarskih opstina brezovica i zavlaka: -0.021285
1804-01-01;zakon o opstem upravnom postupku: 0.550911;odluka o izradi prostornog plana podrucja posebne namene sistema produktovoda kroz republiku srbiju (sombor - novi sad- pancevo  beograd - smederevo  jagodina  nis): 0.482099;deklaracija o zastiti cirilice: 0.389969;odluka o obrazovanju radne grupe za koordinaciju aktivnosti na uredjenju odnosa izmedju preduzeca za telekomunikacije telekom srbija akcionarsko drustvo beograd i javnog preduzeca posta srbije po pitanju zakupa nekretnina: 0.090923;odluka o promeni granice katastarskih opstina brezovica i zavlaka: -0.551122
1804-07-01;deklaracija o zastiti cirilice: 0.573355;odluka o obrazovanju radne grupe za koordinaciju aktivnosti na uredjenju odnosa izmedju preduzeca za telekomunikacije telekom srbija akcionarsko drustvo beograd i javnog preduzeca posta srbije po pitanju zakupa nekretnina: 0.512876;zakon o opstem upravnom postupku: 0.184536;odluka o izradi prostornog plana podrucja posebne namene sistema produktovoda kroz republiku srbiju (sombor - novi sad- pancevo  beograd - smederevo  jagodina  nis): -0.019807;odluka o promeni granice katastarskih opstina brezovica i zavlaka: -0.611373
1805-01-01;zakon o opstem upravnom postupku: 0.854231;odluka o izradi prostornog plana podrucja posebne namene sistema produktovoda kroz republiku srbiju (sombor - novi sad- pancevo  beograd - smederevo  jagodina  nis): 0.361584;odluka o obrazovanju radne grupe za koordinaciju aktivnosti na uredjenju odnosa izmedju preduzeca za telekomunikacije telekom srbija akcionarsko drustvo beograd i javnog preduzeca posta srbije po pitanju zakupa nekretnina: 0.072575;deklaracija o zastiti cirilice: -0.049697;odluka o promeni granice katastarskih opstina brezovica i zavlaka: -0.363056
1805-07-01;odluka o promeni granice katastarskih opstina brezovica i zavlaka: 0.607507;odluka o obrazovanju radne grupe za koordinaciju aktivnosti na uredjenju odnosa izmedju preduzeca za telekomunikacije telekom srbija akcionarsko drustvo beograd i javnog preduzeca posta srbije po pitanju zakupa nekretnina: 0.584709;zakon o opstem upravnom postupku: 0.423963;odluka o izradi prostornog plana podrucja posebne namene sistema produktovoda kroz republiku srbiju (sombor - novi sad- pancevo  beograd - smederevo  jagodina  nis): 0.314601;deklaracija o zastiti cirilice: -0.101646
1806-01-01;odluka o izradi prostornog plana podrucja posebne namene sistema produktovoda kroz republiku srbiju (sombor - novi sad- pancevo  beograd - smederevo  jagodina  nis): 0.603691;odluka o obrazovanju radne grupe za koordinaciju aktivnosti na uredjenju odnosa izmedju preduzeca za telekomunikacije telekom srbija akcionarsko drustvo beograd i javnog preduzeca posta srbije po pitanju zakupa nekretnina: 0.584014;odluka o promeni granice katastarskih opstina brezovica i zavlaka: -0.115191;zakon o opstem upravnom postupku: -0.260546;deklaracija o zastiti cirilice: -0.461879
